policy,category,mean_score,zero_rate
random,points,21.9438,0
random,rebounds,12.854,0
random,assists,7.8912,0
random,steals,7.6763,0
random,blocks,4.8917,0.0222
random,games_played,53.9486,0
random,all_nba_third,0.78,0.961
random,all_nba_second,0.759,0.9747
random,all_nba_first,0.564,0.9859
random,champion,0.88,0.9648
random,all_defense_second,0.672,0.9776
random,all_defense_first,0.548,0.9863
random,major_award,0.42,0.9916
random,jersey,16.66,0.0653
greedy,points,35.0016,0
greedy,rebounds,19.4092,0
greedy,assists,14.7553,0
greedy,steals,10.3643,0
greedy,blocks,9.0868,0.0086
greedy,games_played,67.762,0
greedy,all_nba_third,2.072,0.8964
greedy,all_nba_second,5.025,0.8325
greedy,all_nba_first,7.5,0.8125
greedy,champion,11.295,0.5482
greedy,all_defense_second,8.604,0.7132
greedy,all_defense_first,9.044,0.7739
greedy,major_award,10.4,0.792
greedy,jersey,37.2393,0
