category,weighting,min,p10,p25,median,mean,p75,p90,p95,max
ppg,record_weighted,1.0,4.3,6.1,9.3,10.962481426448736,14.3,20.5,24.0,34.7
ppg,roulette_weighted,1.0,4.3,6.1,9.4,11.036849805418562,14.5,20.8,24.2,34.7
rpg,record_weighted,0.6,1.8,2.6,3.6500000000000004,4.175408618127786,5.2,7.25,8.7,13.9
rpg,roulette_weighted,0.6,1.8,2.6,3.7,4.203298863894581,5.2,7.4,8.9,13.9
apg,record_weighted,0.2,0.8,1.2,2.0,2.583506686478455,3.5,5.3,6.3,11.6
apg,roulette_weighted,0.2,0.8,1.2,2.0,2.5965529809744208,3.5,5.3,6.4,11.6
spg,record_weighted,0.1,0.4,0.5,0.7,0.7780089153046063,1.0,1.3,1.5,3.0
spg,roulette_weighted,0.1,0.4,0.5,0.7,0.7800631239054872,1.0,1.3,1.5,3.0
bpg,record_weighted,0.0,0.1,0.2,0.4,0.46946508172362555,0.6,1.0,1.2,3.8
bpg,roulette_weighted,0.0,0.1,0.2,0.4,0.4726350982131426,0.6,1.0,1.2,3.8
gp,record_weighted,15,24.0,36.0,56.0,52.65378900445765,70.0,77.0,80.0,82
gp,roulette_weighted,15,25,37,57,54.00588768453578,71,78,80,82
jersey,record_weighted,0,1.0,5.0,12.0,16.4851411589896,24.0,34.0,44.0,99
jersey,roulette_weighted,0,1,5,12,16.36273983880279,24,34,44,99
pts_score,record_weighted,2,9.0,12.0,19.0,21.90713224368499,29.0,41.0,48.0,69
pts_score,roulette_weighted,2,9,12,19,22.05457585380831,29,42,48,69
reb_score,record_weighted,2,5.0,8.0,11.0,12.569093610698365,16.0,22.0,26.0,42
reb_score,roulette_weighted,2,5,8,11,12.653310754623964,16,22,27,42
ast_score,record_weighted,1,2.0,4.0,6.0,7.807578008915304,11.0,16.0,19.0,35
ast_score,roulette_weighted,1,2,4,6,7.847834817926407,11,16,19,35
stl_score,record_weighted,1,4.0,5.0,7.0,7.780089153046062,10.0,13.0,15.0,30
stl_score,roulette_weighted,1,4,5,7,7.800631239054872,10,13,15,30
blk_score,record_weighted,0,1.0,2.0,4.0,4.694650817236256,6.0,10.0,12.0,38
blk_score,roulette_weighted,0,1,2,4,4.726350982131426,6,10,12,38
