team,player_id,player,last_game_date,game_id,expected_final_jersey,verified_final_jersey,status
ATL,201988,Patty Mills,"Feb 07, 2024",0022300729,8,8,MATCH
BKN,1626220,Royce O'Neale,"Feb 06, 2024",0022300720,0,0,MATCH
BKN,203915,Spencer Dinwiddie,"Feb 06, 2024",0022300720,26,26,MATCH
CHA,202330,Gordon Hayward,"Dec 26, 2023",0022300414,20,20,MATCH
CHA,202397,Ish Smith,"Feb 07, 2024",0022300726,14,14,MATCH
CHA,1641877,Nathan Mensah,"Feb 09, 2024",0022300745,31,31,MATCH
CHA,1629023,P.J. Washington,"Feb 07, 2024",0022300726,25,25,MATCH
CHA,1626179,Terry Rozier,"Jan 22, 2024",0022300610,3,3,MATCH
DAL,1629684,Grant Williams,"Feb 06, 2024",0022300720,3,3,MATCH
DAL,1626158,Richaun Holmes,"Feb 05, 2024",0022300715,20,20,MATCH
DAL,203552,Seth Curry,"Jan 31, 2024",0022300680,30,30,MATCH
DET,202692,Alec Burks,"Feb 07, 2024",0022300732,14,14,MATCH
DET,202711,Bojan Bogdanovic,"Feb 04, 2024",0022300704,44,44,MATCH
DET,1630587,Isaiah Livers,"Jan 12, 2024",0022300534,12,12,MATCH
DET,203925,Joe Harris,"Feb 07, 2024",0022300732,31,31,MATCH
DET,1628995,Kevin Knox II,"Feb 04, 2024",0022300704,24,24,MATCH
DET,1630165,Killian Hayes,"Feb 07, 2024",0022300732,7,7,MATCH
DET,1628963,Marvin Bagley III,"Jan 12, 2024",0022300534,35,35,MATCH
GSW,202709,Cory Joseph,"Feb 07, 2024",0022300727,1,1,MATCH
IND,1628971,Bruce Brown,"Jan 14, 2024",0022300550,11,11,MATCH
IND,1627741,Buddy Hield,"Feb 06, 2024",0022300719,7,7,MATCH
IND,1629670,Jordan Nwora,"Jan 15, 2024",0022300564,13,13,MATCH
MEM,202687,Bismack Biyombo,"Jan 09, 2024",0022300515,18,18,MATCH
MEM,1631223,David Roddy,"Feb 06, 2024",0022300722,21,21,MATCH
MEM,1631367,Jacob Gilyard,"Feb 15, 2024",0022300790,0,0,MATCH
MEM,1630214,Xavier Tillman,"Jan 29, 2024",0022300663,2,2,MATCH
MIA,200768,Kyle Lowry,"Jan 21, 2024",0022300601,7,7,MATCH
MIL,1626166,Cameron Payne,"Feb 06, 2024",0022300725,15,15,MATCH
MIN,1629003,Shake Milton,"Feb 04, 2024",0022300709,18,18,MATCH
MIN,1628972,Troy Brown Jr.,"Feb 04, 2024",0022300709,23,23,MATCH
NYK,1630193,Immanuel Quickley,"Dec 29, 2023",0022300429,5,5,MATCH
NYK,1629656,Quentin Grimes,"Jan 30, 2024",0022300671,6,6,MATCH
NYK,1629628,RJ Barrett,"Dec 29, 2023",0022300429,9,9,MATCH
NYK,201959,Taj Gibson,"Feb 14, 2024",0022300778,67,67,MATCH
OKC,203995,Vasilije Micic,"Feb 06, 2024",0022300724,29,29,MATCH
PHI,1627863,Danuel House Jr.,"Feb 05, 2024",0022300715,25,25,MATCH
PHI,1630531,Jaden Springer,"Feb 07, 2024",0022300727,11,11,MATCH
PHI,202694,Marcus Morris Sr.,"Feb 05, 2024",0022300715,5,5,MATCH
PHI,201976,Patrick Beverley,"Feb 07, 2024",0022300727,22,22,MATCH
PHX,1629002,Chimezie Metu,"Feb 04, 2024",0022300705,4,4,MATCH
PHX,1630692,Jordan Goodwin,"Feb 06, 2024",0022300725,0,0,MATCH
PHX,1628966,Keita Bates-Diop,"Feb 04, 2024",0022300705,21,21,MATCH
PHX,1629139,Yuta Watanabe,"Feb 06, 2024",0022300725,18,18,MATCH
POR,1630219,Skylar Mays,"Jan 03, 2024",0022300472,5,5,MATCH
SAS,203926,Doug McDermott,"Feb 07, 2024",0022300730,17,17,MATCH
TOR,203471,Dennis Schroder,"Feb 07, 2024",0022300726,17,17,MATCH
TOR,1629007,Jontay Porter,"Mar 22, 2024",0022301012,34,34,MATCH
TOR,1630201,Malachi Flynn,"Dec 29, 2023",0022300432,22,22,MATCH
TOR,1628384,OG Anunoby,"Dec 29, 2023",0022300432,3,3,MATCH
TOR,203490,Otto Porter Jr.,"Dec 30, 2023",0022300440,32,32,MATCH
TOR,1627783,Pascal Siakam,"Jan 15, 2024",0022300563,43,43,MATCH
TOR,1630173,Precious Achiuwa,"Dec 29, 2023",0022300432,5,5,MATCH
TOR,201152,Thaddeus Young,"Feb 07, 2024",0022300726,21,21,MATCH
UTA,203482,Kelly Olynyk,"Feb 06, 2024",0022300724,41,41,MATCH
UTA,1630534,Ochai Agbaji,"Feb 04, 2024",0022300711,30,30,MATCH
UTA,1631323,Simone Fontecchio,"Feb 06, 2024",0022300724,16,16,MATCH
WAS,1629655,Daniel Gafford,"Feb 07, 2024",0022300728,21,21,MATCH
WAS,201568,Danilo Gallinari,"Dec 27, 2023",0022300416,88,88,MATCH
WAS,1626153,Delon Wright,"Feb 14, 2024",0022300784,55,55,MATCH
WAS,203488,Mike Muscala,"Jan 10, 2024",0022300520,35,35,MATCH
