team,player_id,player,last_game_date,game_id,verified_final_jersey,status
ATL,203992,Bogdan Bogdanović,"Jan 25, 2025",0022400639,13,VERIFIED
ATL,1631223,David Roddy,"Jan 30, 2025",0022400675,8,VERIFIED
ATL,1629631,De'Andre Hunter,"Feb 05, 2025",0022400719,12,VERIFIED
BKN,1627732,Ben Simmons,"Feb 05, 2025",0022400720,10,VERIFIED
BKN,203471,Dennis Schröder,"Dec 13, 2024",0022401211,17,VERIFIED
BKN,1627827,Dorian Finney-Smith,"Dec 27, 2024",0022400421,28,VERIFIED
BKN,1629003,Shake Milton,"Dec 27, 2024",0022400421,7,VERIFIED
CHA,1628998,Cody Martin,"Jan 24, 2025",0022400630,11,VERIFIED
CHA,1631209,Isaiah Wong,"Feb 12, 2025",0022400770,21,VERIFIED
CHA,1630208,Nick Richards,"Jan 12, 2025",0022400547,4,VERIFIED
CHA,203995,Vasilije Micic,"Feb 03, 2025",0022400700,22,VERIFIED
CHI,203897,Zach LaVine,"Jan 27, 2025",0022400655,8,VERIFIED
CLE,1627747,Caris LeVert,"Feb 05, 2025",0022400718,3,VERIFIED
CLE,1627777,Georges Niang,"Feb 05, 2025",0022400718,20,VERIFIED
DAL,1629029,Luka Dončić,"Dec 25, 2024",0022400406,77,VERIFIED
DAL,1628467,Maxi Kleber,"Jan 25, 2025",0022400635,42,VERIFIED
DAL,1629656,Quentin Grimes,"Feb 02, 2025",0022400696,5,VERIFIED
DET,1631111,Wendell Moore Jr.,"Jan 31, 2025",0022400680,14,VERIFIED
GSW,203952,Andrew Wiggins,"Feb 03, 2025",0022400708,22,VERIFIED
GSW,203471,Dennis Schröder,"Feb 03, 2025",0022400708,71,VERIFIED
GSW,203937,Kyle Anderson,"Jan 31, 2025",0022400685,1,VERIFIED
GSW,1630322,Lindy Waters III,"Jan 31, 2025",0022400685,43,VERIFIED
LAC,1630538,Bones Hyland,"Feb 04, 2025",0022400715,5,VERIFIED
LAC,1629645,Kevin Porter Jr.,"Feb 04, 2025",0022400715,77,VERIFIED
LAC,1628964,Mo Bamba,"Jan 27, 2025",0022400659,4,VERIFIED
LAC,1629611,Terance Mann,"Feb 04, 2025",0022400715,14,VERIFIED
LAL,203076,Anthony Davis,"Jan 28, 2025",0022400660,3,VERIFIED
LAL,1629629,Cam Reddish,"Mar 20, 2025",0022400996,5,VERIFIED
LAL,1626156,D'Angelo Russell,"Dec 28, 2024",0022400435,1,VERIFIED
LAL,1631108,Max Christie,"Feb 01, 2025",0022400692,12,VERIFIED
MEM,1630217,Desmond Bane,"Apr 11, 2025",0022401180,22,VERIFIED
MEM,1631222,Jake LaRavia,"Feb 05, 2025",0022400722,3,VERIFIED
MEM,203935,Marcus Smart,"Feb 05, 2025",0022400722,36,VERIFIED
MIA,202710,Jimmy Butler III,"Jan 21, 2025",0022400607,22,VERIFIED
MIL,1626153,Delon Wright,"Feb 03, 2025",0022400705,55,VERIFIED
MIL,203114,Khris Middleton,"Feb 02, 2025",0022400699,22,VERIFIED
NOP,1627742,Brandon Ingram,"Dec 07, 2024",0022400342,14,VERIFIED
NOP,1628464,Daniel Theis,"Jan 29, 2025",0022400670,10,VERIFIED
NOP,1629750,Javonte Green,"Feb 13, 2025",0022400785,4,VERIFIED
NOP,1641998,Trey Jemison III,"Dec 19, 2024",0022400365,55,VERIFIED
NYK,1630579,Jericho Sims,"Feb 04, 2025",0022400713,20,VERIFIED
ORL,1630175,Cole Anthony,"Apr 13, 2025",0022401186,50,VERIFIED
ORL,203484,Kentavious Caldwell-Pope,"Apr 13, 2025",0022401186,3,VERIFIED
PHI,1628997,Caleb Martin,"Jan 10, 2025",0022400527,16,VERIFIED
PHI,1630231,KJ Martin,"Dec 23, 2024",0022400394,1,VERIFIED
PHI,202704,Reggie Jackson,"Feb 05, 2025",0022400721,0,VERIFIED
PHX,1629006,Josh Okogie,"Jan 11, 2025",0022400533,2,VERIFIED
PHX,203994,Jusuf Nurkić,"Jan 07, 2025",0022400502,20,VERIFIED
SAC,1628368,De'Aaron Fox,"Feb 01, 2025",0022400691,5,VERIFIED
SAC,1628989,Kevin Huerter,"Feb 01, 2025",0022400691,9,VERIFIED
SAS,1630200,Tre Jones,"Feb 01, 2025",0022400693,33,VERIFIED
SAS,1628380,Zach Collins,"Feb 01, 2025",0022400693,23,VERIFIED
TOR,1628971,Bruce Brown,"Feb 05, 2025",0022400722,11,VERIFIED
TOR,1630558,Davion Mitchell,"Feb 05, 2025",0022400722,45,VERIFIED
TOR,203482,Kelly Olynyk,"Feb 05, 2025",0022400722,41,VERIFIED
TOR,1631115,Orlando Robinson,"Apr 09, 2025",0022401158,21,VERIFIED
UTA,1629234,Drew Eubanks,"Jan 30, 2025",0022400677,15,VERIFIED
UTA,201988,Patty Mills,"Jan 28, 2025",0022400661,8,VERIFIED
WAS,1630215,Jared Butler,"Jan 30, 2025",0022400674,4,VERIFIED
WAS,202685,Jonas Valanciunas,"Feb 03, 2025",0022400700,17,VERIFIED
WAS,1628398,Kyle Kuzma,"Feb 03, 2025",0022400700,33,VERIFIED
