team,player_id,player,listed_numbers,verified_final_jersey,source,status
ATL,1642854,Asa Newell,14,14,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,203468,CJ McCollum,3,3,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630557,Corey Kispert,24,24,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630700,Dyson Daniels,5,5,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1629216,Gabe Vincent,4,4,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630552,Jalen Johnson,1,1,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1629111,Jock Landale,31,31,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630228,Jonathan Kuminga,0,0,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630811,Keaton Wallace,2,2,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,204001,Kristaps Porziņģis,8,8,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1628379,Luke Kennard,"3, 4",4,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1631243,Mouhamed Gueye,18,18,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1629638,Nickeil Alexander-Walker,7,7,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630168,Onyeka Okongwu,17,17,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1630249,Vít Krejčí,27,27,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
ATL,1642258,Zaccharie Risacher,10,10,https://www.basketball-reference.com/teams/ATL/2026.html,VERIFIED
BKN,1642879,Ben Saraf,77,77,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630560,Cam Thomas,24,24,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1643052,Chaney Johnson,31,31,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1642874,Danny Wolf,2,2,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630549,Day'Ron Sharpe,20,20,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1642962,Drake Powell,4,4,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630604,E.J. Liddell,9,9,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1642856,Egor Dëmin,8,8,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630592,Jalen Wilson,22,22,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1631169,Josh Minott,0,0,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1641869,Malachi Smith,18,18,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1629008,Michael Porter Jr.,17,17,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1629651,Nic Claxton,33,33,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1641730,Noah Clowney,21,21,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1642849,Nolan Traore,88,88,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630534,Ochai Agbaji,30,30,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1629611,Terance Mann,14,14,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1631213,Tyrese Martin,13,13,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630623,Tyson Etienne,10,10,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BKN,1630533,Ziaire Williams,1,1,https://www.basketball-reference.com/teams/BRK/2026.html,VERIFIED
BOS,1629014,Anfernee Simons,4,4,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1631248,Baylor Scheierman,55,55,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1628401,Derrick White,9,9,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1642864,Hugo González,28,28,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1627759,Jaylen Brown,7,7,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1628369,Jayson Tatum,0,0,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1641775,Jordan Walsh,27,27,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1631169,Josh Minott,8,8,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1630568,Luka Garza,52,52,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1629674,Neemias Queta,88,88,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,202696,Nikola Vučević,4,4,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1630202,Payton Pritchard,11,11,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1631199,Ron Harper Jr.,13,13,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
BOS,1630573,Sam Hauser,30,30,https://www.basketball-reference.com/teams/BOS/2026.html,VERIFIED
CHA,1641706,Brandon Miller,24,24,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1629632,Coby White,3,3,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1629012,Collin Sexton,8,8,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1629684,Grant Williams,2,2,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1630182,Josh Green,10,10,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1642851,Kon Knueppel,7,7,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1630163,LaMelo Ball,1,1,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1642862,Liam McNeeley,33,33,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1628970,Miles Bridges,0,0,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1631217,Moussa Diabaté,14,14,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1641750,Ryan Kalkbrenner,11,11,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1642883,Sion James,4,4,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1642275,Tidjane Salaün,31,31,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHA,1630544,Tre Mann,23,23,https://www.basketball-reference.com/teams/CHO/2026.html,VERIFIED
CHI,1630245,Ayo Dosunmu,11,11,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1629632,Coby White,0,0,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1629012,Collin Sexton,2,2,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1631207,Dalen Terry,7,7,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1627824,Guerschon Yabusele,28,28,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630171,Isaac Okoro,35,35,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630188,Jalen Smith,25,25,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1628975,Jevon Carter,5,5,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630581,Josh Giddey,3,3,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1628989,Kevin Huerter,13,13,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1631159,Leonard Miller,11,11,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1641824,Matas Buzelis,14,14,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630208,Nick Richards,13,13,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,202696,Nikola Vučević,9,9,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630172,Patrick Williams,44,44,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1642265,Rob Dillingham,7,7,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1630200,Tre Jones,30,30,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
CHI,1642530,Yuki Kawamura,8,8,https://www.basketball-reference.com/teams/CHI/2026.html,VERIFIED
