season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2025-26,1642854,Asa Newell,ATL,44,11.4,5.2,2.2,0.6,0.4,0.3,14,,,False,False,False,False
2025-26,203468,CJ McCollum,ATL,41,28.8,18.7,3.1,4.1,1.0,0.6,3,,,False,False,False,False
2025-26,1630557,Corey Kispert,ATL,39,18.2,9.2,2.3,1.5,0.2,0.2,24,,,False,False,False,False
2025-26,1630700,Dyson Daniels,ATL,76,33.2,11.9,6.8,5.9,2.0,0.4,5,,2,False,False,False,False
2025-26,1629216,Gabe Vincent,ATL,24,13.3,3.9,1.1,1.6,0.5,0.1,4,,,False,False,False,False
2025-26,1630552,Jalen Johnson,ATL,72,35.2,22.5,10.3,7.9,1.2,0.4,1,3,,False,False,False,False
2025-26,1629111,Jock Landale,ATL,23,19.4,9.1,4.1,1.7,0.4,0.6,31,,,False,False,False,False
2025-26,1630228,Jonathan Kuminga,ATL,16,22.1,12.2,5.3,2.1,0.9,0.3,0,,,False,False,False,False
2025-26,1630811,Keaton Wallace,ATL,53,10.1,3.5,1.1,1.8,0.5,0.1,2,,,False,False,False,False
2025-26,204001,Kristaps Porziņģis,ATL,17,24.3,17.1,5.1,2.7,0.5,1.3,8,,,False,False,False,False
2025-26,1628379,Luke Kennard,ATL,46,20.5,7.9,2.2,2.1,0.7,0.1,4,,,False,False,False,False
2025-26,1631243,Mouhamed Gueye,ATL,77,15.3,4.4,3.6,0.9,0.8,0.5,18,,,False,False,False,False
2025-26,1629638,Nickeil Alexander-Walker,ATL,78,33.4,20.8,3.4,3.7,1.3,0.5,7,,,False,False,False,False
2025-26,1630168,Onyeka Okongwu,ATL,74,31.0,15.2,7.6,3.1,1.1,1.1,17,,,False,False,False,False
2025-26,1630249,Vít Krejčí,ATL,46,22.3,9.0,2.1,1.5,0.8,0.3,27,,,False,False,False,False
2025-26,1642258,Zaccharie Risacher,ATL,67,22.4,9.6,3.8,1.1,0.9,0.5,10,,,False,False,False,False
2025-26,1642879,Ben Saraf,BKN,44,20.8,7.5,2.1,3.3,0.9,0.2,77,,,False,False,False,False
2025-26,1630560,Cam Thomas,BKN,24,24.2,15.6,1.8,3.1,0.2,0.1,24,,,False,False,False,False
2025-26,1643052,Chaney Johnson,BKN,17,20.4,8.2,4.6,2.1,0.9,0.5,31,,,False,False,False,False
2025-26,1642874,Danny Wolf,BKN,57,20.8,8.9,4.9,2.2,0.5,0.6,2,,,False,False,False,False
2025-26,1630549,Day'Ron Sharpe,BKN,62,18.7,8.7,6.7,2.3,1.1,0.4,20,,,False,False,False,False
2025-26,1642962,Drake Powell,BKN,63,20.9,6.5,1.8,1.4,0.6,0.2,4,,,False,False,False,False
2025-26,1630604,E.J. Liddell,BKN,26,13.4,5.7,2.7,0.9,0.2,0.4,9,,,False,False,False,False
2025-26,1642856,Egor Dëmin,BKN,52,25.2,10.3,3.2,3.3,0.8,0.3,8,,,False,False,False,False
2025-26,1630592,Jalen Wilson,BKN,54,15.9,6.4,2.1,0.9,0.4,0.0,22,,,False,False,False,False
2025-26,1631169,Josh Minott,BKN,16,19.3,10.8,2.5,0.8,1.2,0.8,0,,,False,False,False,False
2025-26,1641869,Malachi Smith,BKN,15,23.9,8.3,3.4,3.3,0.8,0.3,18,,,False,False,False,False
2025-26,1629008,Michael Porter Jr.,BKN,52,32.5,24.2,7.1,3.0,1.1,0.2,17,,,False,False,False,False
2025-26,1629651,Nic Claxton,BKN,69,27.8,11.7,6.9,3.7,0.7,1.1,33,,,False,False,False,False
2025-26,1641730,Noah Clowney,BKN,66,27.0,12.3,4.1,1.6,0.8,0.7,21,,,False,False,False,False
2025-26,1642849,Nolan Traore,BKN,56,22.2,8.9,1.8,3.8,0.8,0.4,88,,,False,False,False,False
2025-26,1630534,Ochai Agbaji,BKN,20,16.2,6.7,2.3,0.8,0.3,0.3,30,,,False,False,False,False
2025-26,1629611,Terance Mann,BKN,63,24.3,7.2,3.2,3.0,0.7,0.2,14,,,False,False,False,False
2025-26,1631213,Tyrese Martin,BKN,37,18.8,7.3,2.9,1.9,0.6,0.1,13,,,False,False,False,False
2025-26,1630623,Tyson Etienne,BKN,24,15.8,7.9,1.1,1.7,0.5,0.0,10,,,False,False,False,False
2025-26,1630533,Ziaire Williams,BKN,56,22.9,10.2,2.4,1.1,1.4,0.4,1,,,False,False,False,False
2025-26,1629014,Anfernee Simons,BOS,49,24.5,14.2,2.4,2.4,0.6,0.1,4,,,False,False,False,False
2025-26,1631248,Baylor Scheierman,BOS,77,18.6,5.5,3.5,1.5,0.5,0.1,55,,,False,False,False,False
2025-26,1628401,Derrick White,BOS,77,34.1,16.5,4.4,5.4,1.1,1.3,9,,1,False,False,False,False
2025-26,1642864,Hugo González,BOS,74,14.6,3.9,3.3,0.5,0.6,0.3,28,,,False,False,False,False
2025-26,1627759,Jaylen Brown,BOS,71,34.4,28.7,6.9,5.1,1.0,0.4,7,2,,False,False,False,False
2025-26,1628369,Jayson Tatum,BOS,16,32.6,21.8,10.0,5.3,1.4,0.2,0,,,False,False,False,False
2025-26,1641775,Jordan Walsh,BOS,68,17.8,5.4,4.0,0.8,0.7,0.5,27,,,False,False,False,False
